Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
1629,2018,Singapore Grand Prix,HUL,27,Renault,0 days 00:01:40.013000,0 days 00:00:27.402000,0 days 00:00:38.332000,0 days 00:00:34.279000,True,False,True
1632,2018,Singapore Grand Prix,HUL,27,Renault,0 days 00:01:38.932000,0 days 00:00:27.135000,0 days 00:00:37.981000,0 days 00:00:33.816000,True,False,True
1635,2018,Singapore Grand Prix,HUL,27,Renault,0 days 00:01:38.630000,0 days 00:00:27.070000,0 days 00:00:38.010000,0 days 00:00:33.550000,True,False,True
1638,2018,Singapore Grand Prix,HUL,27,Renault,0 days 00:01:38.450000,0 days 00:00:26.994000,0 days 00:00:37.882000,0 days 00:00:33.574000,True,False,True
1641,2018,Singapore Grand Prix,HUL,27,Renault,0 days 00:01:38.887000,0 days 00:00:27.085000,0 days 00:00:38.048000,0 days 00:00:33.754000,True,False,True
1644,2018,Singapore Grand Prix,HUL,27,Renault,0 days 00:01:38.588000,0 days 00:00:27.079000,0 days 00:00:38.008000,0 days 00:00:33.501000,True,False,True
1659,2018,Singapore Grand Prix,SAI,55,Renault,0 days 00:01:39.401000,0 days 00:00:27.270000,0 days 00:00:38.180000,0 days 00:00:33.951000,True,False,True
1662,2018,Singapore Grand Prix,SAI,55,Renault,0 days 00:01:39.103000,0 days 00:00:27.122000,0 days 00:00:38.277000,0 days 00:00:33.704000,True,False,True
1665,2018,Singapore Grand Prix,SAI,55,Renault,0 days 00:01:38.716000,0 days 00:00:27.030000,0 days 00:00:37.835000,0 days 00:00:33.851000,True,False,True
1734,2018,Singapore Grand Prix,SIR,35,Williams,0 days 00:01:42.724000,0 days 00:00:27.509000,0 days 00:00:40.026000,0 days 00:00:35.189000,True,False,True
1736,2018,Singapore Grand Prix,SIR,35,Williams,0 days 00:01:41.403000,0 days 00:00:27.488000,0 days 00:00:39.154000,0 days 00:00:34.761000,True,False,True
1739,2018,Singapore Grand Prix,SIR,35,Williams,0 days 00:01:41.263000,0 days 00:00:27.455000,0 days 00:00:39.277000,0 days 00:00:34.531000,True,False,True
