race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
1015,2019,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,false,11,13,-2
1018,2019,Austrian Grand Prix,9,Nico Hülkenberg,Renault,renault,false,15,13,2
930,2015,Spanish Grand Prix,5,Nico Hülkenberg,Force India,force_india,false,17,15,2
1029,2019,Brazilian Grand Prix,20,Nico Hülkenberg,Renault,renault,false,13,15,-2
979,2017,Hungarian Grand Prix,11,Nico Hülkenberg,Renault,renault,false,12,17,-5
956,2016,Austrian Grand Prix,9,Nico Hülkenberg,Force India,force_india,false,2,19,-17
960,2016,Belgian Grand Prix,13,Nico Hülkenberg,Force India,force_india,false,7,4,3
1023,2019,Italian Grand Prix,14,Nico Hülkenberg,Renault,renault,false,6,5,1
933,2015,Austrian Grand Prix,8,Nico Hülkenberg,Force India,force_india,false,5,6,-1
940,2015,Japanese Grand Prix,14,Nico Hülkenberg,Force India,force_india,false,13,6,7
944,2015,Brazilian Grand Prix,18,Nico Hülkenberg,Force India,force_india,false,5,6,-1
953,2016,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,false,5,6,-1
973,2017,Spanish Grand Prix,5,Nico Hülkenberg,Renault,renault,false,13,6,7
978,2017,British Grand Prix,10,Nico Hülkenberg,Renault,renault,false,5,6,-1
980,2017,Belgian Grand Prix,12,Nico Hülkenberg,Renault,renault,false,7,6,1
998,2018,British Grand Prix,10,Nico Hülkenberg,Renault,renault,false,11,6,5
934,2015,British Grand Prix,9,Nico Hülkenberg,Force India,force_india,false,9,7,2
938,2015,Italian Grand Prix,12,Nico Hülkenberg,Force India,force_india,false,9,7,2
957,2016,British Grand Prix,10,Nico Hülkenberg,Force India,force_india,false,8,7,1
967,2016,Brazilian Grand Prix,20,Nico Hülkenberg,Force India,force_india,false,8,7,1
964,2016,Japanese Grand Prix,17,Nico Hülkenberg,Force India,force_india,false,9,8,1
994,2018,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,false,11,8,3
1022,2019,Belgian Grand Prix,13,Nico Hülkenberg,Renault,renault,false,12,8,4
1024,2019,Singapore Grand Prix,15,Nico Hülkenberg,Renault,renault,false,8,9,-1
974,2017,Monaco Grand Prix,6,Jolyon Palmer,Renault,renault,false,16,11,5
977,2017,Austrian Grand Prix,9,Jolyon Palmer,Renault,renault,false,16,11,5
956,2016,Austrian Grand Prix,9,Jolyon Palmer,Renault,renault,false,19,12,7
958,2016,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,false,17,12,5
964,2016,Japanese Grand Prix,17,Jolyon Palmer,Renault,renault,false,16,12,4
979,2017,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,false,10,12,-2
984,2017,Japanese Grand Prix,16,Jolyon Palmer,Renault,renault,false,18,12,6
952,2016,Spanish Grand Prix,5,Jolyon Palmer,Renault,renault,false,17,13,4
980,2017,Belgian Grand Prix,12,Jolyon Palmer,Renault,renault,false,14,13,1
960,2016,Belgian Grand Prix,13,Jolyon Palmer,Renault,renault,false,13,15,-2
962,2016,Singapore Grand Prix,15,Jolyon Palmer,Renault,renault,false,18,15,3
973,2017,Spanish Grand Prix,5,Jolyon Palmer,Renault,renault,false,17,15,2
982,2017,Singapore Grand Prix,14,Jolyon Palmer,Renault,renault,false,11,6,5
982,2017,Singapore Grand Prix,14,Esteban Ocon,Force India,force_india,false,14,10,4
974,2017,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,false,15,12,3
1000,2018,Hungarian Grand Prix,12,Esteban Ocon,Force India,force_india,false,18,13,5
1008,2018,Brazilian Grand Prix,20,Esteban Ocon,Force India,force_india,false,18,15,3
973,2017,Spanish Grand Prix,5,Esteban Ocon,Force India,force_india,false,10,5,5
981,2017,Italian Grand Prix,13,Esteban Ocon,Force India,force_india,false,3,6,-3
984,2017,Japanese Grand Prix,16,Esteban Ocon,Force India,force_india,false,5,6,-1
994,2018,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,false,6,6,0
