,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta,gained_or_lost,num_places
103,977,2017,Austrian Grand Prix,9,Lance Stroll,Williams,williams,True,18,10,8,gained,8
104,1022,2019,Belgian Grand Prix,13,Lance Stroll,Racing Point,racing_point,False,16,10,6,gained,6
105,980,2017,Belgian Grand Prix,12,Lance Stroll,Williams,williams,True,15,11,4,gained,4
106,993,2018,Spanish Grand Prix,5,Lance Stroll,Williams,williams,True,18,11,7,gained,7
107,998,2018,British Grand Prix,10,Lance Stroll,Williams,williams,True,19,12,7,gained,7
108,1023,2019,Italian Grand Prix,14,Lance Stroll,Racing Point,racing_point,False,9,12,-3,lost,3
109,1001,2018,Belgian Grand Prix,13,Lance Stroll,Williams,williams,True,17,13,4,gained,4
110,1019,2019,British Grand Prix,10,Lance Stroll,Racing Point,racing_point,False,18,13,5,gained,5
111,1024,2019,Singapore Grand Prix,15,Lance Stroll,Racing Point,racing_point,False,16,13,3,gained,3
112,979,2017,Hungarian Grand Prix,11,Lance Stroll,Williams,williams,True,17,14,3,gained,3
113,997,2018,Austrian Grand Prix,9,Lance Stroll,Williams,williams,True,14,14,0,gained,0
114,1003,2018,Singapore Grand Prix,15,Lance Stroll,Williams,williams,True,20,14,6,gained,6
115,1018,2019,Austrian Grand Prix,9,Lance Stroll,Racing Point,racing_point,False,14,14,0,gained,0
116,974,2017,Monaco Grand Prix,6,Lance Stroll,Williams,williams,True,17,15,2,gained,2
117,973,2017,Spanish Grand Prix,5,Lance Stroll,Williams,williams,True,18,16,2,gained,2
118,978,2017,British Grand Prix,10,Lance Stroll,Williams,williams,True,15,16,-1,lost,1
119,987,2017,Brazilian Grand Prix,19,Lance Stroll,Williams,williams,True,16,16,0,gained,0
120,1015,2019,Monaco Grand Prix,6,Lance Stroll,Racing Point,racing_point,False,17,16,1,gained,1
121,994,2018,Monaco Grand Prix,6,Lance Stroll,Williams,williams,True,17,17,0,gained,0
122,1000,2018,Hungarian Grand Prix,12,Lance Stroll,Williams,williams,True,15,17,-2,lost,2
123,1005,2018,Japanese Grand Prix,17,Lance Stroll,Williams,williams,True,14,17,-3,lost,3
124,1021,2019,Hungarian Grand Prix,12,Lance Stroll,Racing Point,racing_point,False,18,17,1,gained,1
125,1008,2018,Brazilian Grand Prix,20,Lance Stroll,Williams,williams,True,19,18,1,gained,1
126,1029,2019,Brazilian Grand Prix,20,Lance Stroll,Racing Point,racing_point,False,17,19,-2,lost,2
127,981,2017,Italian Grand Prix,13,Lance Stroll,Williams,williams,True,2,7,-5,lost,5
128,982,2017,Singapore Grand Prix,14,Lance Stroll,Williams,williams,True,18,8,10,gained,10
129,1002,2018,Italian Grand Prix,14,Lance Stroll,Williams,williams,True,10,9,1,gained,1
130,1026,2019,Japanese Grand Prix,17,Lance Stroll,Racing Point,racing_point,False,12,9,3,gained,3
131,953,2016,Monaco Grand Prix,6,Felipe Massa,Williams,williams,True,14,10,4,gained,4
132,960,2016,Belgian Grand Prix,13,Felipe Massa,Williams,williams,True,10,10,0,gained,0
133,978,2017,British Grand Prix,10,Felipe Massa,Williams,williams,True,14,10,4,gained,4
134,984,2017,Japanese Grand Prix,16,Felipe Massa,Williams,williams,True,8,10,-2,lost,2
135,957,2016,British Grand Prix,10,Felipe Massa,Williams,williams,True,12,11,1,gained,1
136,982,2017,Singapore Grand Prix,14,Felipe Massa,Williams,williams,True,17,11,6,gained,6
137,936,2015,Hungarian Grand Prix,10,Felipe Massa,Williams,williams,True,8,12,-4,lost,4
138,962,2016,Singapore Grand Prix,15,Felipe Massa,Williams,williams,True,11,12,-1,lost,1
139,973,2017,Spanish Grand Prix,5,Felipe Massa,Williams,williams,True,9,13,-4,lost,4
140,931,2015,Monaco Grand Prix,6,Felipe Massa,Williams,williams,True,12,15,-3,lost,3
141,940,2015,Japanese Grand Prix,14,Felipe Massa,Williams,williams,True,5,17,-12,lost,12
142,958,2016,Hungarian Grand Prix,11,Felipe Massa,Williams,williams,True,18,18,0,gained,0
143,933,2015,Austrian Grand Prix,8,Felipe Massa,Williams,williams,True,4,3,1,gained,1
144,938,2015,Italian Grand Prix,12,Felipe Massa,Williams,williams,True,5,3,2,gained,2
145,934,2015,British Grand Prix,9,Felipe Massa,Williams,williams,True,3,4,-1,lost,1
146,930,2015,Spanish Grand Prix,5,Felipe Massa,Williams,williams,True,9,6,3,gained,3
147,937,2015,Belgian Grand Prix,11,Felipe Massa,Williams,williams,True,6,6,0,gained,0
148,987,2017,Brazilian Grand Prix,19,Felipe Massa,Williams,williams,True,9,7,2,gained,2
149,952,2016,Spanish Grand Prix,5,Felipe Massa,Williams,williams,True,18,8,10,gained,10
150,980,2017,Belgian Grand Prix,12,Felipe Massa,Williams,williams,True,16,8,8,gained,8
151,981,2017,Italian Grand Prix,13,Felipe Massa,Williams,williams,True,7,8,-1,lost,1
152,961,2016,Italian Grand Prix,14,Felipe Massa,Williams,williams,True,11,9,2,gained,2
153,964,2016,Japanese Grand Prix,17,Felipe Massa,Williams,williams,True,12,9,3,gained,3
154,974,2017,Monaco Grand Prix,6,Felipe Massa,Williams,williams,True,14,9,5,gained,5
155,977,2017,Austrian Grand Prix,9,Felipe Massa,Williams,williams,True,17,9,8,gained,8
156,962,2016,Singapore Grand Prix,15,Kevin Magnussen,Renault,renault,False,15,10,5,gained,5
157,974,2017,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,False,11,10,1,gained,1
158,981,2017,Italian Grand Prix,13,Kevin Magnussen,Haas F1 Team,haas,False,9,11,-2,lost,2
159,1029,2019,Brazilian Grand Prix,20,Kevin Magnussen,Haas F1 Team,haas,False,9,11,-2,lost,2
160,978,2017,British Grand Prix,10,Kevin Magnussen,Haas F1 Team,haas,False,16,12,4,gained,4
161,1022,2019,Belgian Grand Prix,13,Kevin Magnussen,Haas F1 Team,haas,False,8,12,-4,lost,4
162,979,2017,Hungarian Grand Prix,11,Kevin Magnussen,Haas F1 Team,haas,False,15,13,2,gained,2
163,994,2018,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,False,19,13,6,gained,6
164,1021,2019,Hungarian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,False,14,13,1,gained,1
165,952,2016,Spanish Grand Prix,5,Kevin Magnussen,Renault,renault,False,15,14,1,gained,1
166,956,2016,Austrian Grand Prix,9,Kevin Magnussen,Renault,renault,False,17,14,3,gained,3
167,964,2016,Japanese Grand Prix,17,Kevin Magnussen,Renault,renault,False,17,14,3,gained,3
168,967,2016,Brazilian Grand Prix,20,Kevin Magnussen,Renault,renault,False,18,14,4,gained,4
169,973,2017,Spanish Grand Prix,5,Kevin Magnussen,Haas F1 Team,haas,False,11,14,-3,lost,3
170,1015,2019,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,False,5,14,-9,lost,9
171,958,2016,Hungarian Grand Prix,11,Kevin Magnussen,Renault,renault,False,19,15,4,gained,4
