,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
160,2019,Austrian Grand Prix,9,George Russell,rookie,00:02.763,2763.27493187068
161,2019,Austrian Grand Prix,9,Robert Kubica,experienced,00:02.392,2392.3542159280687
162,2019,Azerbaijan Grand Prix,4,George Russell,rookie,00:02.226,2226.811725677806
163,2019,Azerbaijan Grand Prix,4,Robert Kubica,experienced,00:01.967,1967.6513499587393
164,2019,Bahrain Grand Prix,2,George Russell,rookie,00:03.250,3250.0700084697755
165,2019,Bahrain Grand Prix,2,Robert Kubica,experienced,00:03.909,3909.496852041664
166,2019,Belgian Grand Prix,13,George Russell,rookie,00:01.969,1969.1111000098679
167,2019,Belgian Grand Prix,13,Robert Kubica,experienced,00:01.587,1587.626796495394
168,2019,Brazilian Grand Prix,20,George Russell,rookie,00:06.707,6707.706368721394
169,2019,Brazilian Grand Prix,20,Robert Kubica,experienced,00:07.233,7233.8760823774
170,2019,British Grand Prix,10,George Russell,rookie,00:03.444,3444.100625790042
171,2019,British Grand Prix,10,Robert Kubica,experienced,00:03.440,3440.7339712704425
172,2019,Canadian Grand Prix,7,George Russell,rookie,00:03.059,3059.08309869819
173,2019,Canadian Grand Prix,7,Robert Kubica,experienced,00:03.703,3703.6362902817555
174,2019,Chinese Grand Prix,3,George Russell,rookie,00:03.670,3670.279842057425
175,2019,Chinese Grand Prix,3,Robert Kubica,experienced,00:01.545,1545.7188747452067
176,2019,French Grand Prix,8,George Russell,rookie,00:04.355,4355.449811068279
177,2019,French Grand Prix,8,Robert Kubica,experienced,00:03.840,3840.6886739484726
178,2019,German Grand Prix,11,George Russell,rookie,00:10.506,10506.69725059792
179,2019,German Grand Prix,11,Robert Kubica,experienced,00:11.069,11069.022045615762
180,2019,Hungarian Grand Prix,12,George Russell,rookie,00:02.694,2694.6908955588165
181,2019,Hungarian Grand Prix,12,Robert Kubica,experienced,00:03.231,3231.69813325964
182,2019,Italian Grand Prix,14,George Russell,rookie,00:04.738,4738.068748359185
183,2019,Italian Grand Prix,14,Robert Kubica,experienced,00:03.987,3987.948954957541
184,2019,Japanese Grand Prix,17,George Russell,rookie,00:03.424,3424.719044993743
185,2019,Japanese Grand Prix,17,Robert Kubica,experienced,00:03.455,3455.239773323478
186,2019,Mexican Grand Prix,18,George Russell,rookie,00:05.268,5268.51260091515
187,2019,Mexican Grand Prix,18,Robert Kubica,experienced,00:05.599,5599.666491180225
188,2019,Monaco Grand Prix,6,George Russell,rookie,00:06.439,6439.62442492635
189,2019,Monaco Grand Prix,6,Robert Kubica,experienced,00:06.730,6730.7347807646765
190,2019,Russian Grand Prix,16,George Russell,rookie,00:03.581,3581.070982828734
191,2019,Russian Grand Prix,16,Robert Kubica,experienced,00:00.977,977.6048855508938
192,2019,Singapore Grand Prix,15,George Russell,rookie,00:00.642,642.8963248268007
193,2019,Singapore Grand Prix,15,Robert Kubica,experienced,00:02.848,2848.60869518776
194,2019,Spanish Grand Prix,5,George Russell,rookie,00:07.196,7196.065788616818
195,2019,Spanish Grand Prix,5,Robert Kubica,experienced,00:05.420,5420.72743200768
196,2019,United States Grand Prix,19,George Russell,rookie,00:02.134,2134.1327665256304
197,2019,United States Grand Prix,19,Robert Kubica,experienced,00:01.971,1971.953896840482
